City_ID,City,Country,Data,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Lannion,48.75,-3.4167,69.15,72,100,16.11,FR,2022-06-07 13:28:56
68,Korla,41.7597,86.1469,86.97,14,74,10.71,CN,2022-06-07 13:28:56
69,Punta Arenas,-53.15,-70.9167,37.51,65,75,4.61,CL,2022-06-07 13:28:56
70,Ganta,7.3022,-8.5308,82.29,64,100,2.06,LR,2022-06-07 13:28:57
71,Inhambane,-23.865,35.3833,73.38,56,75,6.91,MZ,2022-06-07 13:28:57
72,Bintulu,3.1667,113.0333,77.41,94,40,3.44,MY,2022-06-07 13:28:58
73,Tuatapere,-46.1333,167.6833,45.64,90,13,6.73,NZ,2022-06-07 13:28:58
74,Keshabpur,22.9183,89.2112,89.04,59,100,15.12,BD,2022-06-07 13:28:58
75,Tual,-5.6667,132.75,83.25,71,47,5.93,ID,2022-06-07 13:28:59
76,San Patricio,28.017,-97.5169,84.07,74,2,15.3,US,2022-06-07 13:28:59
77,Rosita,13.9268,-84.4032,76.32,94,61,0.74,NI,2022-06-07 13:28:59
78,Ixtapa,20.7,-105.2,77.23,94,100,0.0,MX,2022-06-07 13:29:00
79,Naze,28.3667,129.4833,70.72,85,100,4.52,JP,2022-06-07 13:29:00
80,Beringovskiy,63.05,179.3167,37.35,90,89,1.5,RU,2022-06-07 13:29:01
81,Labuhan,-6.8844,112.2051,81.19,84,100,8.25,ID,2022-06-07 13:29:01
82,Jambi,-1.6,103.6167,76.86,92,93,3.29,ID,2022-06-07 13:29:01
83,Freeport,40.6576,-73.5832,74.3,66,40,14.97,US,2022-06-07 13:24:03
84,New Norfolk,-42.7826,147.0587,42.3,85,100,5.01,AU,2022-06-07 13:29:02
85,Saint-Philippe,-21.3585,55.7679,74.79,79,57,10.2,RE,2022-06-07 13:29:02
86,Bendigo,-36.7667,144.2833,43.65,61,73,1.99,AU,2022-06-07 13:29:03
87,Clyde River,70.4692,-68.5914,39.43,81,40,3.44,CA,2022-06-07 13:29:03
88,Deer Lake,49.1667,-57.4316,53.46,54,0,3.44,CA,2022-06-07 13:27:50
89,Hakui,36.8833,136.7833,62.24,91,100,4.61,JP,2022-06-07 13:29:04
90,Komsomolskiy,40.4272,71.7189,93.92,14,0,4.61,UZ,2022-06-07 13:29:04
91,Lulea,65.5842,22.1547,62.67,29,0,9.22,SE,2022-06-07 13:29:05
92,Eirunepe,-6.6603,-69.8736,76.59,84,59,2.75,BR,2022-06-07 13:28:51
93,Ponta Delgada,37.7333,-25.6667,66.92,100,75,16.11,PT,2022-06-07 13:30:05
94,Maldonado,-34.6667,-54.9167,43.99,63,12,3.38,UY,2022-06-07 13:28:04
95,Arraial Do Cabo,-22.9661,-42.0278,78.66,47,0,5.75,BR,2022-06-07 13:30:06
96,Coihaique,-45.5752,-72.0662,39.81,93,40,3.44,CL,2022-06-07 13:30:07
97,Butaritari,3.0707,172.7902,81.05,80,100,14.56,KI,2022-06-07 13:30:07
98,Moron,-34.6534,-58.6198,54.97,99,53,5.12,AR,2022-06-07 13:30:08
99,Nishihara,26.1842,127.7558,74.48,94,75,5.75,JP,2022-06-07 13:30:09
100,Buraydah,26.326,43.975,111.65,3,0,6.24,SA,2022-06-07 13:30:10
101,Vaini,-21.2,-175.2,71.76,78,20,6.91,TO,2022-06-07 13:30:10
102,Cidreira,-30.1811,-50.2056,63.91,86,100,5.23,BR,2022-06-07 13:30:11
103,Praia Da Vitoria,38.7333,-27.0667,71.85,83,20,12.44,PT,2022-06-07 13:30:11
104,Mataura,-46.1927,168.8643,50.49,94,65,3.44,NZ,2022-06-07 13:30:12
105,Sonoita,31.85,-112.8333,82.18,26,0,4.18,MX,2022-06-07 13:30:12
106,Bengkulu,-3.8004,102.2655,77.04,88,68,4.88,ID,2022-06-07 13:30:13
107,Deputatskiy,69.3,139.9,43.97,51,0,9.78,RU,2022-06-07 13:30:13
108,Kahului,20.8947,-156.47,76.84,75,0,4.0,US,2022-06-07 13:30:14
109,Saint-Augustin,51.226,-58.6502,57.83,24,0,8.37,CA,2022-06-07 13:30:14
